filter_idx,sharpness,norm,rank
160,2.730266809463501,14.65421199798584,237
97,2.725481629371643,14.841511726379395,238
211,2.7127624988555907,15.46353816986084,239
64,2.7069732189178466,14.892019271850586,240
237,2.6827394723892213,13.747187614440918,241
66,2.6743747711181642,14.229928970336914,242
216,2.673312473297119,14.822649002075195,243
190,2.657548999786377,14.00243091583252,244
163,2.645606517791748,15.376239776611328,245
5,2.6250940799713134,14.904414176940918,246
201,2.6141226530075072,15.175485610961914,247
51,2.6069491386413572,14.158370018005371,248
164,2.577648401260376,16.082660675048828,249
213,2.576512098312378,14.390188217163086,250
167,2.5646767616271973,15.237346649169922,251
177,2.5177299976348877,14.83769702911377,252
226,2.490693759918213,14.474428176879883,253
3,2.422536039352417,13.960222244262695,254
194,2.2847481966018677,14.449275016784668,255
