protein_id,design_idx,spearman,pearson
4IK7_A,4,0.7155191634951755,0.6110694897114713
4IK7_A,5,0.5340419602172614,0.5146250190355223
4IK7_A,6,0.8585168953984545,0.9379884455878752
4IK7_A,7,0.31125206627455504,0.005950373976184302
4KTN_A,0,0.6886221971808073,0.8521452165370431
4KTN_A,1,0.5897036762815352,0.6945083727544094
4KTN_A,2,0.6370150612824784,0.519052702687668
4KTN_A,3,0.5259816146830074,0.4207577932925058
4KTN_A,4,0.5923805858422265,0.8273751141793054
4KTN_A,5,0.6321231160083743,0.882894525961628
4KTN_A,6,0.527030315618622,0.6407717307572038
4KTN_A,7,0.4060225627393885,0.35714878929928606
4N35_A,0,-0.6173753580008094,-0.3813039186431578
4N35_A,1,0.04868873110398535,0.6429750921632861
4N35_A,2,0.8365304089205221,0.8653508377059764
4N35_A,3,-0.42165821647108215,-0.37416213701434836
4N35_A,4,-0.46398955972017736,-0.44878373336923433
4N35_A,5,-0.3202248641881198,-0.20777820344803094
4N35_A,6,-0.10108487393419399,-0.3947061228694264
4N35_A,7,0.6169751332434933,0.9103318915627633
4QYA_A,0,0.7156114250567025,0.7655313716901169
4QYA_A,1,0.6930688501902895,0.6346586608786637
4QYA_A,2,0.4663109457265292,0.3563813538237859
4QYA_A,3,0.7308576480990274,0.7709974350235872
4QYA_A,4,0.19008188213585517,-0.08661445451764364
4QYA_A,5,-0.2279099985024279,-0.12308795058678228
4QYA_A,6,0.5449967324030294,0.1919524544803942
4QYA_A,7,0.5281869222839156,0.8039305840716068
4ZNO_A,0,0.18974601978982494,0.5117897158235696
4ZNO_A,1,0.47629246051156415,0.5877092848651929
4ZNO_A,2,0.18653292917402306,0.5119745597920694
4ZNO_A,3,0.6007032398131095,0.4903048943214784
4ZNO_A,4,0.598035395354559,0.6540936194708106
4ZNO_A,5,0.39751389910012147,0.7096637025631821
4ZNO_A,6,0.38676603129323023,0.5893646615583024
4ZNO_A,7,0.4914004232099171,0.408223768985626
5ELD_B,0,-0.09499901638792625,0.06659798259886168
5ELD_B,1,-0.005943618349238824,0.0015230053576928567
5ELD_B,2,0.18157149807369694,0.13933518769209555
5ELD_B,3,-0.3154292540203251,-0.421301472886014
5ELD_B,4,-0.1249697943116296,-0.23003600238075925
5ELD_B,5,-0.02391729601902573,-0.11010165379830571
5ELD_B,6,-0.37880953915296606,-0.265452476752682
5ELD_B,7,-0.27877877192594297,0.10081072308221788
5JVA_C,0,0.29745073008739065,0.24926255638952888
5JVA_C,1,0.3806352197743216,0.10065413728919614
5JVA_C,2,0.5182480638242752,0.1623537765212923
5JVA_C,3,0.4583606427497463,0.4228890096069079
5JVA_C,4,0.5882107534963754,0.7293034390416889
5JVA_C,5,0.08475847784709428,-0.13211633598530645
5JVA_C,6,0.8135019872153897,0.5129922690157291
5JVA_C,7,0.22485900768152148,-0.0035450655712029175
5L4J_B,0,0.7794444882821747,0.6306091229298854
5L4J_B,1,0.38185907046476764,0.11908758035978838
5L4J_B,2,0.602135646919121,0.3626139900736971
5L4J_B,3,0.4890554722638681,0.1916090249213076
5L4J_B,4,0.5975510880448147,0.6937959137464089
5L4J_B,5,0.5115363370946107,-0.023277349546088604
5L4J_B,6,0.36072824257989106,0.07868690283328318
5L4J_B,7,0.6200426102738105,0.6224136299899752
5QJQ_B,0,0.21202269083961622,-0.22399531877677076
5QJQ_B,1,0.7123968914839025,0.313780084490493
5QJQ_B,2,0.407682202907589,-0.07323280389238747
5QJQ_B,3,0.5751020656375734,0.7830805788811973
5QJQ_B,4,0.7600123103271383,0.7633156700542022
5QJQ_B,5,0.8071679450926453,0.757921805174345
5QJQ_B,6,0.4038439981029844,0.011166848295678568
5QJQ_B,7,0.5507770174904902,0.8434907094972969
5QKA_D,0,0.20430370434293404,0.5290772589474826
5QKA_D,1,0.018135279333752117,0.4077355763535982
5QKA_D,2,0.25559813951137833,0.2735053713007329
5QKA_D,3,0.22995867054772978,0.4177481456346395
5QKA_D,4,-0.031852936918293516,0.34173760891529037
5QKA_D,5,0.035851258551742475,0.26871330292164075
5QKA_D,6,0.0650161420627009,0.2747940944733926
5QKA_D,7,0.28798624129792094,0.47023790974151325
5UHZ_A,0,0.3842333350742513,0.446657634641642
5UHZ_A,1,0.6138493694070055,0.705226877825411
